,Type,Name,NPV
0,Operating Expenses,Sales tax,0.0
1,Operating Expenses,Grid Electricity Cost,0.0
2,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
3,Operating Expenses,Solar Plant Fixed O&M Cost,0.0
4,Operating Expenses,Battery Storage,0.0
5,Operating Expenses,Solar Plant,0.0
6,Operating Expenses,Licensing and Permitting,0.0
7,Operating Expenses,Rent of land,0.0
8,Operating Expenses,Administrative expenses,0.0
9,Operating Expenses,Labor,0.0
10,Operating Expenses,Total annual maintenance,0.0
11,Operating Expenses,Installation cost,0.0
12,Operating Expenses,Credit card fees,0.0
13,Financing cash outflow,Capital gains taxes payable,0.0
14,Operating Expenses,Road tax,0.0
15,Operating Expenses,Non-depreciable assets,0.00012010588622998507
16,Operating Expenses,Desalination,0.0009147420319915216
17,Operating Expenses,Desalination Fixed O&M Cost,0.004038669219496829
18,Operating Expenses,Water,0.016728232189973616
19,Operating Expenses,Cash on hand reserve,0.021112768813393103
20,Operating Expenses,Compression,0.0217343611721781
21,Operating Expenses,Var O&M,0.06698376100144676
22,Operating Expenses,Property insurance,0.11993266607318377
23,Operating Expenses,Electrolyzer Fixed O&M Cost,0.21399986384913822
24,Operating Expenses,Wind Plant Fixed O&M Cost,0.6935538190924433
25,Operating Expenses,Wind Plant,1.0163246482221433
26,Financing cash outflow,Income taxes payable,1.022569610222678
27,Operating Expenses,Electrolysis system,1.048751254930788
28,Operating Expenses,Hydrogen Storage,1.504850644028799
29,Financing cash outflow,Repayment of debt,1.73308527640189
30,Financing cash outflow,Interest expense,2.7876042762694855
31,Financing cash outflow,Dividends paid,4.236798870047824
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,One time capital incentive,0.0
35,Financing cash inflow,Annual operating incentives,0.0
36,Operating Revenue,Sale of non-depreciable assets,0.00012010588622998507
37,Operating Revenue,Cash on hand recovery,0.021112768813393103
38,Financing cash inflow,Monetized tax losses,0.5458634101809854
39,Financing cash inflow,Inflow of debt,1.7330852764018898
40,Financing cash inflow,Inflow of equity,2.9479265514165816
41,Operating Revenue,Hydrogen sales,9.25101371295506
