,Type,Name,NPV
0,Operating Expenses,Sales tax,0.0
1,Operating Expenses,Grid Electricity Cost,0.0
2,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
3,Operating Expenses,Solar Plant Fixed O&M Cost,0.0
4,Operating Expenses,Battery Storage,0.0
5,Operating Expenses,Solar Plant,0.0
6,Operating Expenses,Licensing and Permitting,0.0
7,Operating Expenses,Rent of land,0.0
8,Operating Expenses,Administrative expenses,0.0
9,Operating Expenses,Labor,0.0
10,Operating Expenses,Total annual maintenance,0.0
11,Operating Expenses,Installation cost,0.0
12,Operating Expenses,Credit card fees,0.0
13,Financing cash outflow,Capital gains taxes payable,0.0
14,Operating Expenses,Road tax,0.0
15,Operating Expenses,Non-depreciable assets,0.0001201245199396333
16,Operating Expenses,Desalination,0.0005678590026692058
17,Operating Expenses,Desalination Fixed O&M Cost,0.002507149114052677
18,Operating Expenses,Cash on hand reserve,0.006041105859124579
19,Operating Expenses,Compression,0.013492386079619613
20,Operating Expenses,Water,0.01406332453825858
21,Operating Expenses,Property insurance,0.04018642553221256
22,Operating Expenses,Hydrogen Storage,0.059767821761054385
23,Operating Expenses,Var O&M,0.07024854751838917
24,Operating Expenses,Electrolyzer Fixed O&M Cost,0.13284810909163927
25,Financing cash outflow,Income taxes payable,0.2620286323622248
26,Operating Expenses,Wind Plant Fixed O&M Cost,0.3861703043199208
27,Operating Expenses,Wind Plant,0.40422361453887057
28,Financing cash outflow,Repayment of debt,0.44172376985517237
29,Financing cash outflow,Interest expense,0.7087607169871666
30,Operating Expenses,Electrolysis system,0.7317287419414196
31,Financing cash outflow,Dividends paid,1.0885307422078634
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,One time capital incentive,0.0
35,Financing cash inflow,Annual operating incentives,0.0
36,Operating Revenue,Sale of non-depreciable assets,0.0001201245199396333
37,Operating Revenue,Cash on hand recovery,0.00604110585912458
38,Financing cash inflow,Monetized tax losses,0.1315586052371434
39,Financing cash inflow,Inflow of debt,0.44172376985517237
40,Financing cash inflow,Inflow of equity,0.7357784466474568
41,Operating Revenue,Hydrogen sales,3.0408229177781845
