,0
Useful Life,30.0
Wind Cost ($/kW),2232.0
Solar Cost ($/kW),9999.0
Electrolyzer Installed Cost ($/kW),1467.6211200000005
Total Electricity Production (kWh),2656.315158866206
Debt Equity,60.0
ATB Year,2020.0
H2 PTC,0.0
Wind ITC,0.0
Discount Rate,0.07
NPV Wind Expenses,-2759729548.5020766
NPV Solar Expenses,0.0
NPV HVDC Expenses,0.0
LCOE ($/MWh),73.97225736508712
LCOH ($/kg),4.34767615
Electrolyzer CF (-),1.0
Hydrogen storage duration (hr),0.0
Hydrogen storage capacity (kg),0.0
Hydrogen storage CAPEX ($/kg),12.389736362129
Hydrogen annual production (kg),159204765.6000154
Renewable electricity used annually (MWh),0.0
Grid electricity used annually (MWh),8760000.0
Renewable curtailment annually,0.0
LCOH: Grid Electricity ($/kg),3.25970697
LCOH: Hydrogen Storage ($/kg),0.0
LCOH: Compression ($/kg),0.01649444
LCOH: Electrolyzer CAPEX ($/kg),0.26639719
LCOH: Desalination CAPEX ($/kg),0.00030065
LCOH: Electrolyzer FOM ($/kg),0.08039961
LCOH:Desalination FOM ($/kg),0.01040377
LCOH: Electrolyzer VOM ($/kg),0.25145732
LCOH: Renewable CAPEX ($/kg),0.0
LCOH: Renewable FOM ($/kg),0.0
LCOH: Taxes ($/kg),0.06786099
LCOH: Financial ($/kg),0.36511519
LCOH: Water consumption ($/kg),0.02954
Steel annual production (tonne/year),2172290.616131199
Ammonia annual production (kg/year),726282903.5705061
Steel price: EAF and Casting CAPEX ($/tonne),4.912905780218325
Steel price: Shaft Furnace CAPEX ($/tonne),3.8727765938072904
Steel price: Oxygen Supply CAPEX ($/tonne),0.3889797167291656
Steel price: H2 Pre-heating CAPEX ($/tonne),0.2624167441907528
Steel price: Cooling Tower CAPEX ($/tonne),0.4743464011979023
Steel price: Piping CAPEX ($/tonne),1.3647094403424933
Steel price: Electrical & Instrumentation ($/tonne),0.909806294331658
"Steel price: Buildings, Storage, Water Service CAPEX ($/tonne)",2.402871393494897
Steel price: Miscellaneous CAPEX ($/tonne),0.9098066569997849
Steel price: Annual Operating Labor Cost ($/tonne),42.10601948747232
Steel price: Maintenance Labor Cost ($/tonne),3.937774744472764
Steel price: Administrative & Support Labor Cost ($/tonne),11.51094855798627
Steel price: Installation Cost ($/tonne),6.553584479861384
Steel price: Maintenance Materials ($/tonne),7.719999999999998
Steel price: Raw Water Withdrawal ($/tonne),0.4764879062999999
Steel price: Lime ($/tonne),2.2519312251966808
Steel price: Carbon ($/tonne),11.211796223663692
Steel price: Iron Ore ($/tonne),431.0859990658773
Steel price: Hydrogen ($/tonne),286.7727188539999
Steel price: Natural gas ($/tonne),2.7167092623580062
Steel price: Electricity ($/tonne),26.915783999999995
Steel price: Slag Disposal ($/tonne),6.560037899999999
Steel price: Taxes ($/tonne),18.156044113031164
Steel price: Financial ($/tonne),58.160290119984325
Steel price: Total ($/tonne),931.634744961516
Ammonia price: Air Separation by Cryogenic ($/kg),0.0014702731647144374
Ammonia price: Haber Bosch ($/kg),0.001217892418283857
Ammonia price: Boiler and Steam Turbine ($/kg),0.00046180848875117546
Ammonia price: Cooling Tower ($/kg),0.0003135209997332958
Ammonia price: Depreciable Nonequipment ($/kg),0.0017903994609108648
Ammonia price: Labor Cost ($/kg),0.009381706086586577
Ammonia price: Maintenance Cost ($/kg),0.0007121677896960255
Ammonia price: Administrative Expense ($/kg),0.001876341217317315
Ammonia price: Hydrogen ($/kg),0.8577286936900876
Ammonia price: Electricity ($/kg),0.025959165287559982
Ammonia price: Cooling water ($/kg),5.580990977316856e-06
Ammonia price: Iron based catalyst ($/kg),0.0021180315277480313
Ammonia price: Oxygen byproduct ($/kg),0.00838664830060196
Ammonia price: Taxes ($/kg),0.006226783765990085
Ammonia price: Financial ($/kg),0.02024726307012819
Ammonia price: Total ($/kg),0.9217979652618055
