,Type,Name,NPV
0,Operating Expenses,Installation cost,0.0
1,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
2,Operating Expenses,Solar Plant Fixed O&M Cost,0.0
3,Operating Expenses,Wind Plant Fixed O&M Cost,0.0
4,Operating Expenses,Battery Storage,0.0
5,Operating Expenses,Solar Plant,0.0
6,Operating Expenses,Wind Plant,0.0
7,Operating Expenses,Licensing and Permitting,0.0
8,Operating Expenses,Rent of land,0.0
9,Operating Expenses,Administrative expenses,0.0
10,Operating Expenses,Labor,0.0
11,Operating Expenses,Total annual maintenance,0.0
12,Operating Expenses,Sales tax,0.0
13,Financing cash outflow,Capital gains taxes payable,0.0
14,Operating Expenses,Road tax,0.0
15,Operating Expenses,Credit card fees,0.0
16,Operating Expenses,Non-depreciable assets,0.00011746010421806888
17,Operating Expenses,Hydrogen Storage,0.0002237438126349566
18,Operating Expenses,Desalination,0.000351639188648456
19,Operating Expenses,Desalination Fixed O&M Cost,0.0015525189811946027
20,Operating Expenses,Property insurance,0.0035519424086999695
21,Operating Expenses,Compression,0.008354981908656895
22,Operating Expenses,Cash on hand reserve,0.01712744599469056
23,Operating Expenses,Water,0.02139841688654354
24,Financing cash outflow,Income taxes payable,0.04851659226242633
25,Operating Expenses,Var O&M,0.07099670978944872
26,Financing cash outflow,Repayment of debt,0.08106670407042996
27,Operating Expenses,Electrolyzer Fixed O&M Cost,0.08226443725446789
28,Financing cash outflow,Interest expense,0.1195827728776033
29,Operating Expenses,Electrolysis system,0.15631179521859642
30,Financing cash outflow,Dividends paid,0.19711213509909734
31,Operating Expenses,Grid Electricity Cost,5.707087007600003
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,Annual operating incentives,0.0
35,Financing cash inflow,One time capital incentive,0.0001118719063174783
36,Operating Revenue,Sale of non-depreciable assets,0.00011746010421806888
37,Operating Revenue,Cash on hand recovery,0.017127445994690564
38,Financing cash inflow,Monetized tax losses,0.02140653958913168
39,Financing cash inflow,Inflow of debt,0.08106670407042996
40,Financing cash inflow,Inflow of equity,0.12370271337239061
41,Operating Revenue,Hydrogen sales,6.272083568420181
