,Type,Name,NPV
0,Operating Expenses,Sales tax,0.0
1,Operating Expenses,Grid Electricity Cost,0.0
2,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
3,Operating Expenses,Solar Plant Fixed O&M Cost,0.0
4,Operating Expenses,Battery Storage,0.0
5,Operating Expenses,Solar Plant,0.0
6,Operating Expenses,Licensing and Permitting,0.0
7,Operating Expenses,Rent of land,0.0
8,Operating Expenses,Administrative expenses,0.0
9,Operating Expenses,Labor,0.0
10,Operating Expenses,Total annual maintenance,0.0
11,Operating Expenses,Installation cost,0.0
12,Financing cash outflow,Income taxes payable,0.0
13,Operating Expenses,Credit card fees,0.0
14,Financing cash outflow,Capital gains taxes payable,0.0
15,Operating Expenses,Road tax,0.0
16,Operating Expenses,Non-depreciable assets,9.769373020659357e-05
17,Operating Expenses,Desalination,0.0007275243386712928
18,Operating Expenses,Desalination Fixed O&M Cost,0.0032120860857673696
19,Operating Expenses,Water,0.016147757255936687
20,Operating Expenses,Compression,0.017286050258132724
21,Operating Expenses,Cash on hand reserve,0.03886895550607288
22,Operating Expenses,Var O&M,0.066571627492947
23,Operating Expenses,Property insurance,0.06680719534969005
24,Operating Expenses,Electrolyzer Fixed O&M Cost,0.17020111023392223
25,Operating Expenses,Wind Plant Fixed O&M Cost,0.5579053041308966
26,Operating Expenses,Wind Plant,0.6155200079328804
27,Operating Expenses,Electrolysis system,0.6314324090434825
28,Financing cash outflow,Repayment of debt,1.258052567253466
29,Operating Expenses,Hydrogen Storage,1.8878867472569298
30,Financing cash outflow,Interest expense,1.891953737786309
31,Financing cash outflow,Dividends paid,1.9341839562540821
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,Annual operating incentives,0.0
35,Operating Revenue,Sale of non-depreciable assets,9.769373020659357e-05
36,Operating Revenue,Cash on hand recovery,0.03886895550607288
37,Financing cash inflow,One time capital incentive,0.9439433736284649
38,Financing cash inflow,Inflow of debt,1.258052567253466
39,Operating Revenue,Hydrogen sales,1.369382967408284
40,Financing cash inflow,Monetized tax losses,2.7705101784384665
41,Financing cash inflow,Inflow of equity,2.7759989939444303
