,Type,Name,NPV
0,Operating Expenses,Installation cost,0.0
1,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
2,Operating Expenses,Solar Plant Fixed O&M Cost,0.0
3,Operating Expenses,Wind Plant Fixed O&M Cost,0.0
4,Operating Expenses,Battery Storage,0.0
5,Operating Expenses,Solar Plant,0.0
6,Operating Expenses,Wind Plant,0.0
7,Operating Expenses,Licensing and Permitting,0.0
8,Operating Expenses,Rent of land,0.0
9,Operating Expenses,Administrative expenses,0.0
10,Operating Expenses,Labor,0.0
11,Operating Expenses,Total annual maintenance,0.0
12,Operating Expenses,Sales tax,0.0
13,Financing cash outflow,Capital gains taxes payable,0.0
14,Operating Expenses,Road tax,0.0
15,Operating Expenses,Credit card fees,0.0
16,Operating Expenses,Non-depreciable assets,0.00011746010421806888
17,Operating Expenses,Hydrogen Storage,0.0002237438126349566
18,Operating Expenses,Desalination,0.000351639188648456
19,Operating Expenses,Desalination Fixed O&M Cost,0.0015525189811946027
20,Operating Expenses,Property insurance,0.004235070478874524
21,Operating Expenses,Compression,0.008354981908656895
22,Operating Expenses,Water,0.014063324538258579
23,Operating Expenses,Cash on hand reserve,0.014103962737327884
24,Financing cash outflow,Income taxes payable,0.05291778096874572
25,Operating Expenses,Var O&M,0.07099670978944872
26,Operating Expenses,Electrolyzer Fixed O&M Cost,0.08226443725446789
27,Financing cash outflow,Repayment of debt,0.09776715372086517
28,Financing cash outflow,Interest expense,0.1433451124602781
29,Operating Expenses,Electrolysis system,0.18857209935189084
30,Financing cash outflow,Dividends paid,0.22817994148653428
31,Operating Expenses,Grid Electricity Cost,4.574662195460002
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,Annual operating incentives,0.0
35,Financing cash inflow,One time capital incentive,0.0001118719063174783
36,Operating Revenue,Sale of non-depreciable assets,0.00011746010421806888
37,Operating Revenue,Cash on hand recovery,0.014103962737327879
38,Financing cash inflow,Monetized tax losses,0.026360973859671472
39,Financing cash inflow,Inflow of debt,0.09776715372086517
40,Financing cash inflow,Inflow of equity,0.1562663318408679
41,Operating Revenue,Hydrogen sales,5.186980378072779
