Interval,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.020739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.13636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.14272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0.31408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0.18716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0.10916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0.093638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0.020553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0.013734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0.0025494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0.12694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0.53657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0.044057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0.14041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0.048714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0.018931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0.615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0.43523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0.48431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0.089946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,0.15863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,0.4018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,0.64537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,0.60168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,0.55902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,0.56425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,0.60822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,0.6352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,0.3895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,0.096115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,0.14696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,0.53743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,0.62792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,0.58636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,0.48759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,0.45989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,0.39903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,0.35744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,0.26877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,0.085739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
