,Type,Name,NPV
0,Operating Expenses,Sales tax,0.0
1,Operating Expenses,Grid Electricity Cost,0.0
2,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
3,Operating Expenses,Solar Plant Fixed O&M Cost,0.0
4,Operating Expenses,Battery Storage,0.0
5,Operating Expenses,Solar Plant,0.0
6,Operating Expenses,Licensing and Permitting,0.0
7,Operating Expenses,Rent of land,0.0
8,Operating Expenses,Administrative expenses,0.0
9,Operating Expenses,Labor,0.0
10,Operating Expenses,Total annual maintenance,0.0
11,Operating Expenses,Installation cost,0.0
12,Operating Expenses,Credit card fees,0.0
13,Financing cash outflow,Capital gains taxes payable,0.0
14,Operating Expenses,Road tax,0.0
15,Operating Expenses,Non-depreciable assets,0.00012147976206723385
16,Operating Expenses,Desalination,0.0006061692182072164
17,Operating Expenses,Desalination Fixed O&M Cost,0.00267629219797635
18,Operating Expenses,Cash on hand reserve,0.007169802346610398
19,Operating Expenses,Compression,0.014402640590691245
20,Operating Expenses,Water,0.02139841688654353
21,Operating Expenses,Property insurance,0.04143806968720759
22,Operating Expenses,Hydrogen Storage,0.06367721437734762
23,Operating Expenses,Var O&M,0.06812503595264083
24,Operating Expenses,Electrolyzer Fixed O&M Cost,0.14181061504680612
25,Financing cash outflow,Income taxes payable,0.3278252923512299
26,Financing cash outflow,Repayment of debt,0.5030768278091631
27,Operating Expenses,Wind Plant,0.5175876949076712
28,Operating Expenses,Wind Plant Fixed O&M Cost,0.5226307416088161
29,Operating Expenses,Electrolysis system,0.6373906290193414
30,Financing cash outflow,Interest expense,0.8118150770356465
31,Financing cash outflow,Dividends paid,1.3251939840750442
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,One time capital incentive,0.0
35,Financing cash inflow,Annual operating incentives,0.0
36,Operating Revenue,Sale of non-depreciable assets,0.00012147976206723385
37,Operating Revenue,Cash on hand recovery,0.007169802346610396
38,Financing cash inflow,Monetized tax losses,0.1573641844969188
39,Financing cash inflow,Inflow of debt,0.5030768278091631
40,Financing cash inflow,Inflow of equity,0.864317655431907
41,Operating Revenue,Hydrogen sales,3.4708926774159927
