,Type,Name,NPV
0,Operating Expenses,Sales tax,0.0
1,Operating Expenses,Grid Electricity Cost,0.0
2,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
3,Operating Expenses,Solar Plant Fixed O&M Cost,0.0
4,Operating Expenses,Battery Storage,0.0
5,Operating Expenses,Solar Plant,0.0
6,Operating Expenses,Licensing and Permitting,0.0
7,Operating Expenses,Rent of land,0.0
8,Operating Expenses,Administrative expenses,0.0
9,Operating Expenses,Labor,0.0
10,Operating Expenses,Total annual maintenance,0.0
11,Operating Expenses,Installation cost,0.0
12,Operating Expenses,Credit card fees,0.0
13,Financing cash outflow,Capital gains taxes payable,0.0
14,Operating Expenses,Road tax,0.0
15,Operating Expenses,Non-depreciable assets,0.00011280692238723176
16,Operating Expenses,Desalination,0.0007999003010358022
17,Operating Expenses,Desalination Fixed O&M Cost,0.0035316325384395194
18,Operating Expenses,Water,0.016147757255936684
19,Operating Expenses,Compression,0.019005710283800808
20,Operating Expenses,Cash on hand reserve,0.019618911731509894
21,Operating Expenses,Var O&M,0.0672644692669683
22,Operating Expenses,Property insurance,0.09737850976828706
23,Operating Expenses,Electrolyzer Fixed O&M Cost,0.18713314740973103
24,Operating Expenses,Electrolysis system,0.24557134098800018
25,Operating Expenses,Wind Plant Fixed O&M Cost,0.5467586710878327
26,Operating Expenses,Wind Plant,0.6474171687964597
27,Financing cash outflow,Income taxes payable,1.0048466467931547
28,Financing cash outflow,Repayment of debt,1.6380006445956474
29,Operating Expenses,Hydrogen Storage,1.9882625016204238
30,Financing cash outflow,Interest expense,2.643241640183996
31,Financing cash outflow,Dividends paid,4.144970507232232
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,One time capital incentive,0.0
35,Financing cash inflow,Annual operating incentives,0.0
36,Operating Revenue,Sale of non-depreciable assets,0.00011280692238723176
37,Operating Revenue,Cash on hand recovery,0.019618911731509894
38,Financing cash inflow,Monetized tax losses,0.5325806164025725
39,Financing cash inflow,Inflow of debt,1.6380006445956474
40,Financing cash inflow,Inflow of equity,2.868103091731768
41,Operating Revenue,Hydrogen sales,8.209146148500245
