,Energy to electrolyzer (kWh),Energy from grid (kWh),Energy from renewables (kWh),Total energy (kWh),Hydrogen Hourly production (kg)
0,849883.9862889352,0.0,849883.9862889352,849883.9862889352,15759.05826563931
1,849883.9862889352,0.0,849883.9862889352,849883.9862889352,15759.05826563931
2,849883.9862889352,0.0,849883.9862889352,849883.9862889352,15759.05826563931
3,742405.1032864099,0.0,742405.1032864099,742405.1032864099,13948.60489760639
4,544285.2924548463,0.0,544285.2924548463,544285.2924548463,10510.771675256425
5,676034.4953257308,0.0,676034.4953257308,676034.4953257308,12812.12403276656
6,849883.9862889352,0.0,849883.9862889352,849883.9862889352,15759.05826563931
7,849883.9862889352,0.0,849883.9862889352,849883.9862889352,15759.05826563931
8,849883.9862889352,0.0,849883.9862889352,849883.9862889352,15759.05826563931
9,791211.7167028877,0.0,791211.7167028877,791211.7167028877,14775.087173957527
10,549121.5114868375,0.0,549121.5114868375,549121.5114868375,10596.288853778924
11,577251.8708550531,0.0,577251.8708550531,577251.8708550531,11092.489985196604
12,440987.88920441683,0.0,440987.88920441683,440987.88920441683,8659.295524826748
13,303167.4077181573,0.0,303167.4077181573,303167.4077181573,6113.467306331789
14,600529.5415316835,0.0,600529.5415316835,600529.5415316835,11500.80232135769
15,546180.0172201098,0.0,546180.0172201098,546180.0172201098,10544.145343393584
16,312397.5317042048,0.0,312397.5317042048,312397.5317042048,6287.009249172161
17,320479.9787516471,0.0,320479.9787516471,320479.9787516471,6438.589340871674
18,329367.11311981786,0.0,329367.11311981786,329367.11311981786,6604.854524945464
19,391856.50888015726,0.0,391856.50888015726,391856.50888015726,7762.396630433771
20,366199.0016106068,0.0,366199.0016106068,366199.0016106068,7289.51634447574
21,538541.574469691,0.0,538541.574469691,538541.574469691,10408.698135374902
22,617280.4668415183,0.0,617280.4668415183,617280.4668415183,11793.293249973527
23,652794.3993563389,0.0,652794.3993563389,652794.3993563389,12410.354292319349
24,655441.2331302534,0.0,655441.2331302534,655441.2331302534,12456.148137530347
25,628163.2899139246,0.0,628163.2899139246,628163.2899139246,11982.810876659512
26,602086.7507096136,0.0,602086.7507096136,602086.7507096136,11527.841143029877
27,518330.8524409056,0.0,518330.8524409056,518330.8524409056,10049.361719736064
28,470358.61221229855,0.0,470358.61221229855,470358.61221229855,9190.011091351615
29,432526.13235694316,0.0,432526.13235694316,432526.13235694316,8505.400151158743
30,358285.8760444354,0.0,358285.8760444354,358285.8760444354,7142.90559372781
31,237892.12932549237,0.0,237892.12932549237,237892.12932549237,4871.798910097424
32,113984.86782485429,0.0,113984.86782485429,113984.86782485429,2429.227659220629
33,71725.09418665274,0.0,71725.09418665274,71725.09418665274,1536.913502956054
34,51622.58926563442,0.0,51622.58926563442,51622.58926563442,1105.20466269889
35,38407.69737841088,0.0,38407.69737841088,38407.69737841088,822.5781117818805
36,0.0,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0,0.0
41,18955.157027220986,0.0,18955.157027220986,18955.157027220986,336.647166588197
42,118679.52319288724,0.0,118679.52319288724,118679.52319288724,2173.625584748709
43,422541.5172162066,0.0,422541.5172162066,422541.5172162066,8322.983052108977
44,625161.8330586603,0.0,625161.8330586603,625161.8330586603,11929.547047254991
45,554670.989017144,0.0,554670.989017144,554670.989017144,10693.230883031943
46,324069.66067179973,0.0,324069.66067179973,324069.66067179973,6505.189178104499
47,229189.67187355555,0.0,229189.67187355555,229189.67187355555,4703.799368793533
48,311614.55583928694,0.0,311614.55583928694,311614.55583928694,6271.70884355234
49,358958.49517900933,0.0,358958.49517900933,358958.49517900933,7154.718149241433
50,436600.8435903156,0.0,436600.8435903156,436600.8435903156,8578.64483707901
51,415705.8173812223,0.0,415705.8173812223,415705.8173812223,8198.208503315484
52,495664.70206977596,0.0,495664.70206977596,495664.70206977596,9643.586918066874
53,678663.0421414353,0.0,678663.0421414353,678663.0421414353,12855.76800552893
54,798974.4137220329,0.0,798974.4137220329,798974.4137220329,14904.079662830249
55,706648.5789716424,0.0,706648.5789716424,706648.5789716424,13336.3934038675
56,623684.6180329657,0.0,623684.6180329657,623684.6180329657,11903.61227420564
57,216441.71799878843,0.0,216441.71799878843,216441.71799878843,4457.326784349219
58,111840.3187325896,0.0,111840.3187325896,111840.3187325896,2385.3827812105583
59,442560.76940179634,0.0,442560.76940179634,442560.76940179634,8686.672157419052
60,276430.9591574355,0.0,276430.9591574355,276430.9591574355,5607.384427911083
61,240470.96336998785,0.0,240470.96336998785,240470.96336998785,4920.806185879288
62,386135.77179988165,0.0,386135.77179988165,386135.77179988165,7656.258722248229
63,349912.9036505456,0.0,349912.9036505456,349912.9036505456,6986.760873297779
64,256031.11104502378,0.0,256031.11104502378,256031.11104502378,5218.866834248108
65,271700.3614995584,0.0,271700.3614995584,271700.3614995584,5517.4813936889095
66,357240.1840895893,0.0,357240.1840895893,357240.1840895893,7122.684332709154
67,398566.6078443104,0.0,398566.6078443104,398566.6078443104,7884.470594550547
68,507664.20339319983,0.0,507664.20339319983,507664.20339319983,9857.912967351447
69,495572.70307854103,0.0,495572.70307854103,495572.70307854103,9641.691269389334
70,381755.9547554581,0.0,381755.9547554581,381755.9547554581,7575.559474607492
71,172247.64081809018,0.0,172247.64081809018,172247.64081809018,3593.6983743910882
72,27421.210435975237,0.0,27421.210435975237,27421.210435975237,585.3669311721268
73,143223.67925053794,0.0,143223.67925053794,143223.67925053794,2640.3256856834637
74,18420.542573132472,0.0,18420.542573132472,18420.542573132472,393.08704536327434
75,0.0,0.0,0.0,0.0,0.0
76,37328.44883213324,0.0,37328.44883213324,37328.44883213324,666.9016151216867
77,71502.09702923584,0.0,71502.09702923584,71502.09702923584,1411.7915553244186
78,91560.6904808433,0.0,91560.6904808433,91560.6904808433,1888.2662813623722
79,148587.35175992915,0.0,148587.35175992915,148587.35175992915,3080.8848059798984
80,98271.19953447604,0.0,98271.19953447604,98271.19953447604,2107.95075916465
81,85551.77477208037,0.0,85551.77477208037,85551.77477208037,1835.5243342344372
82,62274.82010692099,0.0,62274.82010692099,62274.82010692099,1335.0096352028343
83,0.0,0.0,0.0,0.0,0.0
84,0.0,0.0,0.0,0.0,0.0
85,0.0,0.0,0.0,0.0,0.0
86,0.0,0.0,0.0,0.0,0.0
87,0.0,0.0,0.0,0.0,0.0
88,0.0,0.0,0.0,0.0,0.0
89,0.0,0.0,0.0,0.0,0.0
90,17970.087554128877,0.0,17970.087554128877,17970.087554128877,319.8726080782474
91,1104.8739192154592,0.0,1104.8739192154592,1104.8739192154592,0.0
92,0.0,0.0,0.0,0.0,0.0
93,0.0,0.0,0.0,0.0,0.0
94,14575.627976221775,0.0,14575.627976221775,14575.627976221775,258.4793085345691
95,26590.779532645887,0.0,26590.779532645887,26590.779532645887,520.950730023806
96,0.0,0.0,0.0,0.0,0.0
97,0.0,0.0,0.0,0.0,0.0
98,0.0,0.0,0.0,0.0,0.0
99,0.0,0.0,0.0,0.0,0.0
100,0.0,0.0,0.0,0.0,0.0
101,0.0,0.0,0.0,0.0,0.0
102,0.0,0.0,0.0,0.0,0.0
103,0.0,0.0,0.0,0.0,0.0
104,0.0,0.0,0.0,0.0,0.0
105,0.0,0.0,0.0,0.0,0.0
106,29027.886993769123,0.0,29027.886993769123,29027.886993769123,518.5076125986608
107,13763.853383601945,0.0,13763.853383601945,13763.853383601945,293.6657383787459
108,33409.895027051716,0.0,33409.895027051716,33409.895027051716,641.3152377662472
109,48160.80916658739,0.0,48160.80916658739,48160.80916658739,976.3585724749736
110,57946.88468979329,0.0,57946.88468979329,57946.88468979329,1212.61120529853
111,35418.6497742224,0.0,35418.6497742224,35418.6497742224,756.9331384535938
112,18673.04181958109,0.0,18673.04181958109,18673.04181958109,398.07517138805383
113,28776.39386029388,0.0,28776.39386029388,28776.39386029388,572.9289369532673
114,29636.853995434907,0.0,29636.853995434907,29636.853995434907,634.6175308739657
115,24833.293061293967,0.0,24833.293061293967,24833.293061293967,532.2959637355224
116,39667.330984537024,0.0,39667.330984537024,39667.330984537024,800.759951126825
117,31540.99515205095,0.0,31540.99515205095,31540.99515205095,673.4749051542879
118,36595.2312691042,0.0,36595.2312691042,36595.2312691042,755.930590133915
119,59264.19860443427,0.0,59264.19860443427,59264.19860443427,1193.5102803316354
120,81503.04268103794,0.0,81503.04268103794,81503.04268103794,1660.8552679427723
121,162417.53484131265,0.0,162417.53484131265,162417.53484131265,3303.955366848185
122,235574.01126041973,0.0,235574.01126041973,235574.01126041973,4825.057630871616
123,197733.7775055523,0.0,197733.7775055523,197733.7775055523,4092.2009556646653
124,251874.4519532592,0.0,251874.4519532592,251874.4519532592,5137.695769099993
125,681839.81364657,0.0,681839.81364657,681839.81364657,12906.409127829642
126,849883.9862889352,0.0,849883.9862889352,849883.9862889352,15752.393648490972
127,849883.9862889352,0.0,849883.9862889352,849883.9862889352,15752.369897636221
128,849883.9862889352,0.0,849883.9862889352,849883.9862889352,15752.346146775622
129,849883.9862889352,0.0,849883.9862889352,849883.9862889352,15752.322395909172
130,215922.5714902257,0.0,215922.5714902257,215922.5714902257,4445.686766135478
131,138051.22810952,0.0,138051.22810952,138051.22810952,2913.189882886363
132,134070.75381592658,0.0,134070.75381592658,134070.75381592658,2833.381732717025
133,76190.38979754875,0.0,76190.38979754875,76190.38979754875,1635.4223053440237
134,37875.30007376357,0.0,37875.30007376357,37875.30007376357,811.2090419852362
135,24513.731427552244,0.0,24513.731427552244,24513.731427552244,525.7280837751581
136,0.0,0.0,0.0,0.0,0.0
137,36427.41503488123,0.0,36427.41503488123,36427.41503488123,651.2287922077928
138,204629.8125662622,0.0,204629.8125662622,204629.8125662622,3785.877188443213
139,323339.49256111874,0.0,323339.49256111874,323339.49256111874,6488.646772405293
140,330844.0916533128,0.0,330844.0916533128,330844.0916533128,6628.871320677013
141,412044.3942424183,0.0,412044.3942424183,412044.3942424183,8127.857674760001
142,520046.65547930775,0.0,520046.65547930775,520046.65547930775,10074.740386388828
143,654641.4348386917,0.0,654641.4348386917,654641.4348386917,12436.017159526587
144,679524.961020717,0.0,679524.961020717,679524.961020717,12865.396726473404
145,736773.0594002848,0.0,736773.0594002848,736773.0594002848,13845.367970169264
146,849883.9862889352,0.0,849883.9862889352,849883.9862889352,15750.981310032997
147,849883.9862889352,0.0,849883.9862889352,849883.9862889352,15750.957558830092
148,849883.9862889352,0.0,849883.9862889352,849883.9862889352,15750.93380762134
149,849883.9862889352,0.0,849883.9862889352,849883.9862889352,15750.910056406728
150,849883.9862889352,0.0,849883.9862889352,849883.9862889352,15750.886305186254
151,849883.9862889352,0.0,849883.9862889352,849883.9862889352,15750.86255395993
152,849883.9862889352,0.0,849883.9862889352,849883.9862889352,15750.838802727754
153,848314.0316375318,0.0,848314.0316375318,848314.0316375318,15724.631438592116
154,368417.3842491579,0.0,368417.3842491579,368417.3842491579,7326.388688783996
155,375778.7572713968,0.0,375778.7572713968,375778.7572713968,7462.228059834155
156,353080.2877748952,0.0,353080.2877748952,353080.2877748952,7042.457998989689
157,313066.5963832218,0.0,313066.5963832218,313066.5963832218,6296.0003872350535
158,395025.78453991446,0.0,395025.78453991446,395025.78453991446,7816.138752051742
159,436031.5469545901,0.0,436031.5469545901,436031.5469545901,8564.39747065257
160,515908.99471050804,0.0,515908.99471050804,515908.99471050804,10000.77341177599
161,567688.7769824986,0.0,567688.7769824986,567688.7769824986,10917.99339019635
162,660262.5678053275,0.0,660262.5678053275,660262.5678053275,12532.84226688167
163,849883.9862889352,0.0,849883.9862889352,849883.9862889352,15750.58966056312
164,849883.9862889352,0.0,849883.9862889352,849883.9862889352,15750.565909263665
165,849883.9862889352,0.0,849883.9862889352,849883.9862889352,15750.542157958356
166,849883.9862889352,0.0,849883.9862889352,849883.9862889352,15750.51840664719
167,849883.9862889352,0.0,849883.9862889352,849883.9862889352,15750.494655330167
168,849883.9862889352,0.0,849883.9862889352,849883.9862889352,15750.43616525963
169,849883.9862889352,0.0,849883.9862889352,849883.9862889352,15750.412413922337
170,849883.9862889352,0.0,849883.9862889352,849883.9862889352,15750.388662579191
171,849883.9862889352,0.0,849883.9862889352,849883.9862889352,15750.364911230183
172,670709.9370621316,0.0,670709.9370621316,670709.9370621316,12712.951245838021
173,800444.8714925101,0.0,800444.8714925101,800444.8714925101,14922.26289096548
