,Type,Name,NPV
0,Operating Expenses,Road tax,0.0
1,Operating Expenses,Grid Electricity Cost,0.0
2,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
3,Operating Expenses,Battery Storage,0.0
4,Operating Expenses,Licensing and Permitting,0.0
5,Operating Expenses,Rent of land,0.0
6,Operating Expenses,Administrative expenses,0.0
7,Operating Expenses,Labor,0.0
8,Operating Expenses,Total annual maintenance,0.0
9,Operating Expenses,Installation cost,0.0
10,Operating Expenses,Sales tax,0.0
11,Operating Expenses,Credit card fees,0.0
12,Financing cash outflow,Capital gains taxes payable,0.0
13,Operating Expenses,Non-depreciable assets,0.00010859662767383277
14,Operating Expenses,Desalination,0.0005418839465667906
15,Operating Expenses,Desalination Fixed O&M Cost,0.0023924668802789264
16,Operating Expenses,Cash on hand reserve,0.004079756830026983
17,Operating Expenses,Compression,0.012875216177009614
18,Operating Expenses,Property insurance,0.020374691372821566
19,Operating Expenses,Water,0.021398416886543543
20,Operating Expenses,Hydrogen Storage,0.04033142500922509
21,Operating Expenses,Solar Plant Fixed O&M Cost,0.041220564949295074
22,Operating Expenses,Solar Plant,0.061737074235946245
23,Operating Expenses,Var O&M,0.0682171462080453
24,Operating Expenses,Electrolyzer Fixed O&M Cost,0.1267713592813254
25,Operating Expenses,Electrolysis system,0.1414076673350513
26,Financing cash outflow,Income taxes payable,0.19682383948249377
27,Financing cash outflow,Repayment of debt,0.31620150464375096
28,Operating Expenses,Wind Plant,0.34893445241718174
29,Operating Expenses,Wind Plant Fixed O&M Cost,0.3840221135185006
30,Financing cash outflow,Interest expense,0.5102543680436209
31,Financing cash outflow,Dividends paid,0.8098727141577574
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,One time capital incentive,0.0
35,Financing cash inflow,Annual operating incentives,0.0
36,Operating Revenue,Sale of non-depreciable assets,0.00010859662767383277
37,Operating Revenue,Cash on hand recovery,0.004079756830026983
38,Financing cash inflow,Monetized tax losses,0.1011427540708714
39,Financing cash inflow,Inflow of debt,0.31620150464375096
40,Financing cash inflow,Inflow of equity,0.5511794091559642
41,Operating Revenue,Hydrogen sales,2.134853236674828
