,Type,Name,NPV
0,Operating Expenses,Sales tax,0.0
1,Operating Expenses,Grid Electricity Cost,0.0
2,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
3,Operating Expenses,Solar Plant Fixed O&M Cost,0.0
4,Operating Expenses,Battery Storage,0.0
5,Operating Expenses,Solar Plant,0.0
6,Operating Expenses,Licensing and Permitting,0.0
7,Operating Expenses,Rent of land,0.0
8,Operating Expenses,Administrative expenses,0.0
9,Operating Expenses,Labor,0.0
10,Operating Expenses,Total annual maintenance,0.0
11,Operating Expenses,Installation cost,0.0
12,Operating Expenses,Credit card fees,0.0
13,Financing cash outflow,Capital gains taxes payable,0.0
14,Operating Expenses,Road tax,0.0
15,Operating Expenses,Non-depreciable assets,0.00012397241014552163
16,Operating Expenses,Desalination,0.0009116317052297628
17,Operating Expenses,Desalination Fixed O&M Cost,0.00402493684412107
18,Operating Expenses,Cash on hand reserve,0.01420626202666993
19,Operating Expenses,Compression,0.021660459500625538
20,Operating Expenses,Water,0.02226912928759894
21,Operating Expenses,Var O&M,0.06881650653368562
22,Operating Expenses,Hydrogen Storage,0.0979687892663805
23,Operating Expenses,Property insurance,0.1529858233422592
24,Operating Expenses,Electrolyzer Fixed O&M Cost,0.21327221662154378
25,Operating Expenses,Wind Plant Fixed O&M Cost,0.7832480472047929
26,Financing cash outflow,Income taxes payable,0.7897985778979837
27,Financing cash outflow,Repayment of debt,1.34041981145838
28,Operating Expenses,Wind Plant,1.345982286114635
29,Financing cash outflow,Interest expense,2.1454254682981717
30,Operating Expenses,Electrolysis system,3.1896798670057223
31,Financing cash outflow,Dividends paid,3.237466880377783
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,One time capital incentive,0.0
35,Financing cash inflow,Annual operating incentives,0.0
36,Operating Revenue,Sale of non-depreciable assets,0.00012397241014552163
37,Operating Revenue,Cash on hand recovery,0.014206262026669931
38,Financing cash inflow,Monetized tax losses,0.3797906229661773
39,Financing cash inflow,Inflow of debt,1.3404198114583799
40,Financing cash inflow,Inflow of equity,2.1289268540806776
41,Operating Revenue,Hydrogen sales,9.513960973708649
