,Type,Name,NPV
0,Operating Expenses,Sales tax,0.0
1,Operating Expenses,Grid Electricity Cost,0.0
2,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
3,Operating Expenses,Solar Plant Fixed O&M Cost,0.0
4,Operating Expenses,Battery Storage,0.0
5,Operating Expenses,Solar Plant,0.0
6,Operating Expenses,Licensing and Permitting,0.0
7,Operating Expenses,Rent of land,0.0
8,Operating Expenses,Administrative expenses,0.0
9,Operating Expenses,Labor,0.0
10,Operating Expenses,Total annual maintenance,0.0
11,Operating Expenses,Installation cost,0.0
12,Operating Expenses,Credit card fees,0.0
13,Financing cash outflow,Capital gains taxes payable,0.0
14,Operating Expenses,Road tax,0.0
15,Operating Expenses,Non-depreciable assets,0.00011932094763621143
16,Operating Expenses,Desalination,0.000877427153634797
17,Operating Expenses,Desalination Fixed O&M Cost,0.0038739206397027295
18,Operating Expenses,Cash on hand reserve,0.00966456911648742
19,Operating Expenses,Compression,0.02084775597099886
20,Operating Expenses,Water,0.02226912928759893
21,Operating Expenses,Var O&M,0.0688537549330644
22,Operating Expenses,Property insurance,0.07646258369140208
23,Operating Expenses,Hydrogen Storage,0.09662773729701456
24,Operating Expenses,Electrolyzer Fixed O&M Cost,0.2052702126375272
25,Financing cash outflow,Income taxes payable,0.5102903529367706
26,Operating Expenses,Wind Plant Fixed O&M Cost,0.6196405711436463
27,Financing cash outflow,Repayment of debt,0.8843326604605899
28,Operating Expenses,Wind Plant,1.083782582854579
29,Operating Expenses,Electrolysis system,1.1093778799154455
30,Financing cash outflow,Interest expense,1.4188644687449394
31,Financing cash outflow,Dividends paid,2.103157863405196
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,One time capital incentive,0.0
35,Financing cash inflow,Annual operating incentives,0.0
36,Operating Revenue,Sale of non-depreciable assets,0.00011932094763621143
37,Operating Revenue,Cash on hand recovery,0.009664569116487418
38,Financing cash inflow,Monetized tax losses,0.26686769585106
39,Financing cash inflow,Inflow of debt,0.88433266046059
40,Financing cash inflow,Inflow of equity,1.445015123877164
41,Operating Revenue,Hydrogen sales,5.610633877324121
