,Type,Name,NPV
0,Operating Expenses,Sales tax,0.0
1,Operating Expenses,Grid Electricity Cost,0.0
2,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
3,Operating Expenses,Solar Plant Fixed O&M Cost,0.0
4,Operating Expenses,Battery Storage,0.0
5,Operating Expenses,Solar Plant,0.0
6,Operating Expenses,Licensing and Permitting,0.0
7,Operating Expenses,Rent of land,0.0
8,Operating Expenses,Administrative expenses,0.0
9,Operating Expenses,Labor,0.0
10,Operating Expenses,Total annual maintenance,0.0
11,Operating Expenses,Installation cost,0.0
12,Operating Expenses,Credit card fees,0.0
13,Financing cash outflow,Capital gains taxes payable,0.0
14,Operating Expenses,Road tax,0.0
15,Operating Expenses,Non-depreciable assets,0.00012397241014552163
16,Operating Expenses,Desalination,0.0009116317052297628
17,Operating Expenses,Desalination Fixed O&M Cost,0.00402493684412107
18,Operating Expenses,Cash on hand reserve,0.010029123981829794
19,Operating Expenses,Compression,0.021660459500625538
20,Operating Expenses,Water,0.02226912928759894
21,Operating Expenses,Var O&M,0.06881650653368562
22,Operating Expenses,Property insurance,0.07938335065559314
23,Operating Expenses,Hydrogen Storage,0.0979687892663805
24,Operating Expenses,Electrolyzer Fixed O&M Cost,0.21327221662154378
25,Financing cash outflow,Income taxes payable,0.5295706927574099
26,Operating Expenses,Wind Plant Fixed O&M Cost,0.6437958845485452
27,Financing cash outflow,Repayment of debt,0.9177268282891601
28,Operating Expenses,Wind Plant,1.1266701336708018
29,Operating Expenses,Electrolysis system,1.1526245161458026
30,Financing cash outflow,Interest expense,1.4724389500856812
31,Financing cash outflow,Dividends paid,2.182614605042392
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,One time capital incentive,0.0
35,Financing cash inflow,Annual operating incentives,0.0
36,Operating Revenue,Sale of non-depreciable assets,0.00012397241014552163
37,Operating Revenue,Cash on hand recovery,0.010029123981829795
38,Financing cash inflow,Monetized tax losses,0.2769240971971365
39,Financing cash inflow,Inflow of debt,0.9177268282891602
40,Financing cash inflow,Inflow of equity,1.4995330688979478
41,Operating Revenue,Hydrogen sales,5.821195895215822
