,Type,Name,NPV
0,Operating Expenses,Sales tax,0.0
1,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
2,Operating Expenses,Solar Plant Fixed O&M Cost,0.0
3,Operating Expenses,Battery Storage,0.0
4,Operating Expenses,Solar Plant,0.0
5,Operating Expenses,Hydrogen Storage,0.0
6,Operating Expenses,Licensing and Permitting,0.0
7,Operating Expenses,Rent of land,0.0
8,Operating Expenses,Administrative expenses,0.0
9,Operating Expenses,Labor,0.0
10,Operating Expenses,Total annual maintenance,0.0
11,Operating Expenses,Installation cost,0.0
12,Financing cash outflow,Income taxes payable,0.0
13,Operating Expenses,Credit card fees,0.0
14,Financing cash outflow,Capital gains taxes payable,0.0
15,Operating Expenses,Road tax,0.0
16,Operating Expenses,Non-depreciable assets,0.00011289377527991646
17,Operating Expenses,Desalination,0.00035578496197241074
18,Operating Expenses,Desalination Fixed O&M Cost,0.0015708229472625162
19,Operating Expenses,Compression,0.008453485892960145
20,Operating Expenses,Cash on hand reserve,0.00974943680615651
21,Operating Expenses,Property insurance,0.016603293322850834
22,Operating Expenses,Water,0.022269129287598936
23,Operating Expenses,Var O&M,0.07116312176292472
24,Operating Expenses,Electrolyzer Fixed O&M Cost,0.08323432263837681
25,Operating Expenses,Electrolysis system,0.10252062730314097
26,Operating Expenses,Wind Plant Fixed O&M Cost,0.2615677604999728
27,Financing cash outflow,Repayment of debt,0.30925637942873246
28,Operating Expenses,Wind Plant,0.38203059196800215
29,Financing cash outflow,Interest expense,0.45627228952752397
30,Financing cash outflow,Dividends paid,0.6073715902944008
31,Operating Expenses,Grid Electricity Cost,2.47818383054207
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,One time capital incentive,0.0
35,Financing cash inflow,Annual operating incentives,0.0
36,Operating Revenue,Sale of non-depreciable assets,0.00011289377527991646
37,Operating Revenue,Cash on hand recovery,0.009749436806156508
38,Financing cash inflow,Inflow of debt,0.30925637942873246
39,Financing cash inflow,Inflow of equity,1.0332783648469492
40,Financing cash inflow,Monetized tax losses,1.1977954553832462
41,Operating Revenue,Hydrogen sales,2.2605228307188607
