Run on a MSNT machine on 09/30/22 19:09:46.
Optimal solution found within time limit:,Yes

Renewable Capacity (MW),     1.000000
Renewable Penetration for Input (%),     0.472596
hydrogen use,     1.000000

NPV of actual operating profit, 1.7506323E+6
total electricity input (MWh),  8530.471961
total electricity output (MWh),     0.000000
output to input ratio,     0.000000
input capacity factor,     0.973798
output capacity factor,     0.000000
average regup (MW),     0.000000
average regdn (MW),     0.000000
average spinres (MW),     0.000000
average nonspinres (MW),     0.000000
number of input power system starts,  8760.000000
number of output power system starts,  8760.000000
arbitrage revenue ($),-1.767168E+5
regup revenue ($),     0.000000
regdn revenue ($),     0.000000
spinres revenue ($),     0.000000
nonspinres revenue ($),     0.000000
hydrogen revenue ($), 7.9789721E+5
REC revenue ($),     0.000000
LCFS revenue ($),     0.000000
startup costs ($),     0.000000

Interval,Input Power (MW),Output Power (MW),Storage Level (MW-h),Input Reg Up (MW),Output Reg Up (MW),Input Reg Dn (MW),Output Reg Dn (MW),Input Spin (MW),Output Spin (MW),Input Nonspin (MW),Output Nonspin (MW),Product Sold (units of product),Non-Ren Import (MW),Load Profile (MW),Renewable Input (MW),Renewables Sold (MW),Curtailment (MW)
    1.000000,    1.000000,    0.000000,    5.605610,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   17.541729,    0.186540,    0.000000,    0.813460,    0.000000,    0.000000
    2.000000,    1.000000,    0.000000,    5.621280,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   17.541729,    0.186540,    0.000000,    0.813460,    0.000000,    0.000000
    3.000000,    1.000000,    0.000000,    5.636951,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   17.541729,    0.186540,    0.000000,    0.813460,    0.000000,    0.000000
    4.000000,    1.000000,    0.000000,    5.652621,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   17.541729,    0.186540,    0.000000,    0.813460,    0.000000,    0.000000
    5.000000,    1.000000,    0.000000,    5.668292,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   17.541729,    0.186540,    0.000000,    0.813460,    0.000000,    0.000000
    6.000000,    1.000000,    0.000000,    5.683963,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   17.541729,    0.186540,    0.000000,    0.813460,    0.000000,    0.000000
    7.000000,    1.000000,    0.000000,    5.699633,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   17.541729,    0.186540,    0.000000,    0.813460,    0.000000,    0.000000
    8.000000,    1.000000,    0.000000,    5.715304,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   17.541729,    0.186540,    0.000000,    0.813460,    0.000000,    0.000000
    9.000000,    1.000000,    0.000000,    5.730974,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   17.541729,    0.186540,    0.000000,    0.813460,    0.000000,    0.000000
   10.000000,    1.000000,    0.000000,    5.746645,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   17.541729,    0.279410,    0.000000,    0.720590,    0.000000,    0.000000
   11.000000,    1.000000,    0.000000,    5.762316,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   17.541729,    0.474399,    0.000000,    0.525601,    0.000000,    0.000000
   12.000000,    1.000000,    0.000000,    5.777986,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   17.541729,    0.505483,    0.000000,    0.494517,    0.000000,    0.000000
   13.000000,    1.000000,    0.000000,    5.793657,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   17.541729,    0.344250,    0.000000,    0.655750,    0.000000,    0.000000
   14.000000,    1.000000,    0.000000,    5.809327,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   17.541729,    0.275640,    0.000000,    0.724360,    0.000000,    0.000000
   15.000000,    1.000000,    0.000000,    5.824998,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   17.541729,    0.340671,    0.000000,    0.659329,    0.000000,    0.000000
   16.000000,    1.000000,    0.000000,    5.840669,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   17.541729,    0.266216,    0.000000,    0.733784,    0.000000,    0.000000
   17.000000,    1.000000,    0.000000,    5.856339,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   17.541729,    0.203799,    0.000000,    0.796201,    0.000000,    0.000000
   18.000000,    1.000000,    0.000000,    5.872010,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   17.541729,    0.267864,    0.000000,    0.732136,    0.000000,    0.000000
   19.000000,    0.877162,    0.000000,    5.813953,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   17.541729,    0.299337,    0.000000,    0.577825,    0.000000,    0.000000
   20.000000,    1.000000,    0.000000,    5.829623,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   17.541729,    0.488482,    0.000000,    0.511518,    0.000000,    0.000000
   21.000000,    1.000000,    0.000000,    5.845294,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   17.541729,    0.505269,    0.000000,    0.494731,    0.000000,    0.000000
   22.000000,    1.000000,    0.000000,    5.860965,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   17.541729,    0.656237,    0.000000,    0.343763,    0.000000,    0.000000
   23.000000,    1.000000,    0.000000,    5.876635,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   17.541729,    0.681662,    0.000000,    0.318338,    0.000000,    0.000000
   24.000000,    1.000000,    0.000000,    5.892306,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   17.541729,    0.584377,    0.000000,    0.415623,    0.000000,    0.000000
   25.000000,    1.000000,    0.000000,    5.907976,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   17.541729,    0.716037,    0.000000,    0.283963,    0.000000,    0.000000
   26.000000,    1.000000,    0.000000,    5.923647,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   17.541729,    0.762564,    0.000000,    0.237436,    0.000000,    0.000000
   27.000000,    1.000000,    0.000000,    5.939318,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   17.541729,    0.663637,    0.000000,    0.336363,    0.000000,    0.000000
   28.000000,    1.000000,    0.000000,    5.954988,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   17.541729,    0.580074,    0.000000,    0.419926,    0.000000,    0.000000
   29.000000,    1.000000,    0.000000,    5.970659,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   17.541729,    0.444416,    0.000000,    0.555584,    0.000000,    0.000000
   30.000000,    1.000000,    0.000000,    5.986329,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   17.541729,    0.607446,    0.000000,    0.392554,    0.000000,    0.000000
   31.000000,    1.000000,    0.000000,    6.002000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   17.541729,    0.873442,    0.000000,    0.126558,    0.000000,    0.000000
   32.000000,    0.791128,    0.000000,    5.892306,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   17.541729,    0.437367,    0.000000,    0.353762,    0.000000,    0.000000
   33.000000,    1.000000,    0.000000,    5.907976,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   17.541729,    0.580485,    0.000000,    0.419515,    0.000000,    0.000000
   34.000000,    1.000000,    0.000000,    5.923647,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   17.541729,    0.528680,    0.000000,    0.471320,    0.000000,    0.000000
