Run on a MSNT machine on 09/30/22 12:33:17.
Optimal solution found within time limit:,Yes

interval length (hours),       1.0000
operating period length (hours),    8760.0000
additional look-ahead (hours),       0.0000
output capacity (MW),       0.0000
input capacity (MW),       1.0000
storage capacity (hours),     100.0000
input efficiency (%),       0.6002
output efficiency (%),       1.0000
input heat rate (MMBtu/MWh),       0.0000
ouptut heat rate (MMBtu/MWh),       0.0000
variable O&M cost,       0.0000
regulation cost,       0.0000
hydrogen use,       1.0000

input
LSL limit fraction,       0.0000
reg up limit fraction,       0.0000
reg down limit fraction,       0.0000
spining reserve limit fraction,       0.0000
startup cost ($/MW-start), 0.0000000000
minimum run intervals,       0.0000

output
LSL limit fraction,       0.0000
reg up limit fraction,       0.0000
reg down limit fraction,       0.0000
spining reserve limit fraction,       0.0000
startup cost ($/MW-start), 0.0000000000
minimum run intervals,       0.0000

Int,Elec Purchase ($/MWh),Elec Sale ($/MWh),Reg Up ($/MW),Reg Dn ($/MW),Spin Res ($/MW),Nonspin Res ($/MW),Nat Gas ($/MMBTU),Product ($/product unit),Renewable In (MW),Load Profile (MW),Input Cap, Output Cap,Meter ($/mth)
      1.0000,     36.4190,     36.4190,      0.0000,      0.0000,      0.0000,      0.0000,      1.0000,      8.0224,      0.8135,      0.0000,      1.0000,      1.0000,      0.0000
      2.0000,     34.1220,     34.1220,      0.0000,      0.0000,      0.0000,      0.0000,      1.0000,      8.0224,      0.7594,      0.0000,      1.0000,      1.0000,      0.0000
      3.0000,     32.8330,     32.8330,      0.0000,      0.0000,      0.0000,      0.0000,      1.0000,      8.0224,      0.8135,      0.0000,      1.0000,      1.0000,      0.0000
      4.0000,     31.1930,     31.1930,      0.0000,      0.0000,      0.0000,      0.0000,      1.0000,      8.0224,      0.6225,      0.0000,      1.0000,      1.0000,      0.0000
      5.0000,     33.1170,     33.1170,      0.0000,      0.0000,      0.0000,      0.0000,      1.0000,      8.0224,      0.7297,      0.0000,      1.0000,      1.0000,      0.0000
      6.0000,     35.9660,     35.9660,      0.0000,      0.0000,      0.0000,      0.0000,      1.0000,      8.0224,      0.5217,      0.0000,      1.0000,      1.0000,      0.0000
      7.0000,     37.9330,     37.9330,      0.0000,      0.0000,      0.0000,      0.0000,      1.0000,      8.0224,      0.2973,      0.0000,      1.0000,      1.0000,      0.0000
      8.0000,     39.3100,     39.3100,      0.0000,      0.0000,      0.0000,      0.0000,      1.0000,      8.0224,      0.2901,      0.0000,      1.0000,      1.0000,      0.0000
      9.0000,     35.7230,     35.7230,      0.0000,      0.0000,      0.0000,      0.0000,      1.0000,      8.0224,      0.4569,      0.0000,      1.0000,      1.0000,      0.0000
     10.0000,     30.6880,     30.6880,      0.0000,      0.0000,      0.0000,      0.0000,      1.0000,      8.0224,      0.5484,      0.0000,      1.0000,      1.0000,      0.0000
