,0
Useful Life,30.0
Wind Cost ($/kW),2030.2920000000001
Solar Cost ($/kW),9999.0
Electrolyzer Installed Cost ($/kW),1799.0604800000003
Wind capacity (MW),1296.0
Solar capacity (MW),0.0
Battery storage capacity (MW),0.0
Battery storage duration (hr),0.0
Electrolyzer capacity (MW),1160.0
Total Electricity Production (kWh),3660685547.37365
Debt Equity,60.0
ATB Year,2020.0
Grid Total Emission Intensity (kg-CO2/kg-H2),0.0
Off-grid Total Emission Intensity (kg-CO2/kg-H2),0.0
H2 PTC ($/kg),3.0
Ren PTC ($/kg),1.623748669540469
Wind PTC,0.03072
Discount Rate,0.07
NPV Wind Expenses,-2586897596.7551413
NPV Solar Expenses,0.0
NPV HVDC Expenses,0.0
LCOE ($/MWh),50.30309439911716
Electricity CF (-),0.3602469638023197
LCOH ($/kg),9.79890663874414
Electrolyzer CF (-),0.37159841315012476
Fraction of electricity from renewables (-),1.0
Average stack life (hrs),24398.0
Number of stack clusters (-),7.0
Hydrogen storage duration (hr),225.42446038161864
Hydrogen storage capacity (kg),5980136.540362236
Hydrogen storage CAPEX ($/kg),525.143508539214
Hydrogen annual production (kg),69257183.77779758
Hydrogen production total CAPEX ($),7905742505.625858
Hydrogen transmission total CAPEX ($),58816425.472665094
Steel Plant Total CAPEX ($),517955886.3296291
Ammonia Plant Total CAPEX ($),66943496.45427251
LCOH: Compression & storage ($/kg),2.6494316352119123
LCOH: Electrolyzer CAPEX ($/kg),5.380435063578669
LCOH: Desalination CAPEX ($/kg),0.0015835300143404317
LCOH: Electrolyzer FOM ($/kg),0.21473854923216873
LCOH:Desalination FOM ($/kg),0.004052609910232224
LCOH: Electrolyzer VOM ($/kg),0.06723199569783755
LCOH: Wind Plant CAPEX ($/kg),2.1883432945792083
LCOH: Wind Plant FOM ($/kg),0.8704408581182059
LCOH: Solar Plant CAPEX ($/kg),0.0
LCOH: Solar Plant FOM ($/kg),0.0
LCOH: Battery Storage CAPEX ($/kg),0.0
LCOH: Battery Storage FOM ($/kg),0.0
LCOH: Taxes and Finances ($/kg),-1.7195928695877472
LCOH: Water consumption ($/kg),0.016728232189973616
LCOH: Grid electricity ($/kg),0.0
LCOH: Bulk H2 Transmission ($/kg),0.15519758600544387
Steel annual production (tonne/year),944988.8629475109
Steel annual capacity margin (%),11.111111111111105
Ammonia annual production (kg/year),315947254.07673424
Ammonia annual capacity margin (%),11.111111111111102
Steel Price with Integration ($/tonne),1317.1377880001316
Steel price: EAF and Casting CAPEX ($/tonne),7.582553507194215
Steel price: Shaft Furnace CAPEX ($/tonne),4.173962655502901
Steel price: Oxygen Supply CAPEX ($/tonne),0.5126425577848329
Steel price: H2 Pre-heating CAPEX ($/tonne),0.28799657393916417
Steel price: Cooling Tower CAPEX ($/tonne),0.6316817601045405
Steel price: Piping CAPEX ($/tonne),1.8686327652785661
Steel price: Electrical & Instrumentation ($/tonne),1.245755177906697
"Steel price: Buildings, Storage, Water Service CAPEX ($/tonne)",2.7851884806244516
Steel price: Miscellaneous CAPEX ($/tonne),1.2457556744911893
Steel price: Annual Operating Labor Cost ($/tonne),78.44907104932933
Steel price: Maintenance Labor Cost ($/tonne),5.264516393666796
Steel price: Administrative & Support Labor Cost ($/tonne),20.928396860749032
Steel price: Installation Cost ($/tonne),7.75457665451748
Steel price: Maintenance Materials ($/tonne),7.719999999999997
Steel price: Raw Water Withdrawal ($/tonne),0.4764879062999998
Steel price: Lime ($/tonne),2.2988676793364635
Steel price: Carbon ($/tonne),12.386249185799313
Steel price: Iron Ore ($/tonne),395.76557518831726
Steel price: Hydrogen ($/tonne),646.3358818915635
Steel price: Natural gas ($/tonne),2.7167092623580062
Steel price: Electricity ($/tonne),35.50296015692999
Steel price: Slag Disposal ($/tonne),6.5600378999999975
Steel price: Taxes ($/tonne),15.676924956123354
Steel price: Equipment Financing ($/tonne),59.879472260797996
Steel price: Remaining Financial ($/tonne),0.0
Steel price: Oxygen sales ($/tonne),0.0
Steel price: Total ($/tonne),1318.0498964986152
(-) Steel price: BOS savings ($/tonne),10.464198430374516
Ammonia price: Air Separation by Cryogenic ($/kg),0.0020128913842669995
Ammonia price: Haber Bosch ($/kg),0.001667367135959265
Ammonia price: Boiler and Steam Turbine ($/kg),0.0006322432800228314
Ammonia price: Cooling Tower ($/kg),0.00042922889045077483
Ammonia price: Depreciable Nonequipment ($/kg),0.00232099846113232
Ammonia price: Labor Cost ($/kg),0.01751460107776943
Ammonia price: Maintenance Cost ($/kg),0.0006029538604403781
Ammonia price: Administrative Expense ($/kg),0.0035029202155538873
Ammonia price: Hydrogen ($/kg),1.9331714462773737
Ammonia price: Electricity ($/kg),0.03424114307468819
Ammonia price: Cooling water ($/kg),5.5809909773168574e-06
Ammonia price: Iron based catalyst ($/kg),0.002118031527748032
Ammonia price: Oxygen byproduct ($/kg),0.008386648300601963
Ammonia price: Taxes ($/kg),0.006566760383062957
Ammonia price: Equipment Financing ($/kg),0.02450237622015849
Ammonia price: Remaining Financial ($/kg),0.0
Ammonia price: Total ($/kg),2.021987425546605
