,0
Useful Life,30.0
Wind Cost ($/kW),1331.0
Solar Cost ($/kW),1014.315
Electrolyzer Installed Cost ($/kW),734.44672
Wind capacity (MW),1176.0
Solar capacity (MW),750.0
Battery storage capacity (MW),0.0
Battery storage duration (hr),0.0
Electrolyzer capacity (MW),1080.0
Total Electricity Production (kWh),4863698328.779418
Debt Equity,60.0
ATB Year,2025.0
Grid Total Emission Intensity (kg-CO2/kg-H2),0.0
Off-grid Total Emission Intensity (kg-CO2/kg-H2),0.0
H2 PTC ($/kg),0.6
Ren PTC ($/kg),0.2732889727381595
Wind PTC,0.0051
Discount Rate,0.07
NPV Wind Expenses,-2462736969.6301513
NPV Solar Expenses,-822496198.7001222
NPV HVDC Expenses,0.0
LCOE ($/MWh),50.46002496232464
Electricity CF (-),0.5140895409245939
LCOH ($/kg),5.95480547788249
Electrolyzer CF (-),0.5260125220030665
Fraction of electricity from renewables (-),1.0
Average stack life (hrs),36641.0
Number of stack clusters (-),6.0
Hydrogen storage duration (hr),184.71958209618225
Hydrogen storage capacity (kg),4524649.901500605
Hydrogen storage CAPEX ($/kg),525.143508539214
Hydrogen annual production (kg),91118106.73273785
Hydrogen production total CAPEX ($),5539177951.677528
Hydrogen transmission total CAPEX ($),66363597.26122232
Steel Plant Total CAPEX ($),545209215.1819539
Ammonia Plant Total CAPEX ($),69329152.27623674
LCOH: Compression & storage ($/kg),1.8762398733701229
LCOH: Electrolyzer CAPEX ($/kg),1.2616304621229073
LCOH: Desalination CAPEX ($/kg),0.0013754169507652894
LCOH: Electrolyzer FOM ($/kg),0.15170076908619423
LCOH:Desalination FOM ($/kg),0.0028629421330581654
LCOH: Electrolyzer VOM ($/kg),0.06779220921317793
LCOH: Wind Plant CAPEX ($/kg),1.2144499785521479
LCOH: Wind Plant FOM ($/kg),0.5392421907024335
LCOH: Solar Plant CAPEX ($/kg),0.5902396301284527
LCOH: Solar Plant FOM ($/kg),0.14761031323572554
LCOH: Battery Storage CAPEX ($/kg),0.0
LCOH: Battery Storage FOM ($/kg),0.0
LCOH: Taxes and Finances ($/kg),-0.05533702767449275
LCOH: Water consumption ($/kg),0.016147757255936677
LCOH: Grid electricity ($/kg),0.0
LCOH: Bulk H2 Transmission ($/kg),0.14893733678146626
Steel annual production (tonne/year),999999.9999999999
Steel annual capacity margin (%),38.14145957055466
Ammonia annual production (kg/year),334339658.8730839
Ammonia annual capacity margin (%),38.141459570554645
Steel Price with Integration ($/tonne),1027.5066235712234
Steel price: EAF and Casting CAPEX ($/tonne),7.352712809137524
Steel price: Shaft Furnace CAPEX ($/tonne),4.147456600030857
Steel price: Oxygen Supply CAPEX ($/tonne),0.5024690500428983
Steel price: H2 Pre-heating CAPEX ($/tonne),0.2858154172179284
Steel price: Cooling Tower CAPEX ($/tonne),0.618708489847107
Steel price: Piping CAPEX ($/tonne),1.826797708972273
Steel price: Electrical & Instrumentation ($/tonne),1.217865140345564
"Steel price: Buildings, Storage, Water Service CAPEX ($/tonne)",2.753847764430413
Steel price: Miscellaneous CAPEX ($/tonne),1.2178656258124945
Steel price: Annual Operating Labor Cost ($/tonne),75.19990472290294
Steel price: Maintenance Labor Cost ($/tonne),5.158204145051215
Steel price: Administrative & Support Labor Cost ($/tonne),20.08952721698854
Steel price: Installation Cost ($/tonne),7.3860703185982235
Steel price: Maintenance Materials ($/tonne),7.720000000000001
Steel price: Raw Water Withdrawal ($/tonne),0.47648790630000004
Steel price: Lime ($/tonne),2.089314915012542
Steel price: Carbon ($/tonne),11.722256166785751
Steel price: Iron Ore ($/tonne),360.92245014899083
Steel price: Hydrogen ($/tonne),392.77896932112907
Steel price: Natural gas ($/tonne),2.716709262358007
Steel price: Electricity ($/tonne),44.912345059176
Steel price: Slag Disposal ($/tonne),6.5600379
Steel price: Taxes ($/tonne),14.533262192576938
Steel price: Equipment Financing ($/tonne),56.456289910492586
Steel price: Remaining Financial ($/tonne),11.954123163502235
Steel price: Oxygen sales ($/tonne),0.0
Steel price: Total ($/tonne),1040.599490955702
(-) Steel price: BOS savings ($/tonne),10.044763608494272
Ammonia price: Air Separation by Cryogenic ($/kg),0.0019678455863622363
Ammonia price: Haber Bosch ($/kg),0.0016300537053258407
Ammonia price: Boiler and Steam Turbine ($/kg),0.0006180945270194874
Ammonia price: Cooling Tower ($/kg),0.0004196233260347037
Ammonia price: Depreciable Nonequipment ($/kg),0.0022764307718301274
Ammonia price: Labor Cost ($/kg),0.016786890891857285
Ammonia price: Maintenance Cost ($/kg),0.0006098158976460083
Ammonia price: Administrative Expense ($/kg),0.0033573781783714568
Ammonia price: Hydrogen ($/kg),1.174790243685177
Ammonia price: Electricity ($/kg),0.04331610733847019
Ammonia price: Cooling water ($/kg),5.580990977316858e-06
Ammonia price: Iron based catalyst ($/kg),0.0021180315277480326
Ammonia price: Oxygen byproduct ($/kg),-0.008386648300601963
Ammonia price: Taxes ($/kg),0.004767405454624964
Ammonia price: Equipment Financing ($/kg),0.019494156545930445
Ammonia price: Remaining Financial ($/kg),0.0041472287499434365
Ammonia price: Total ($/kg),1.285740169515865
