,0
Useful Life,30.0
Wind Cost ($/kW),950.0
Solar Cost ($/kW),541.9855
Electrolyzer Installed Cost ($/kW),326.19104000000004
Wind capacity (MW),780.0
Solar capacity (MW),250.0
Battery storage capacity (MW),100.0
Battery storage duration (hr),1.0
Electrolyzer capacity (MW),720.0
Total Electricity Production (kWh),4006873791.6538315
Debt Equity,60.0
ATB Year,2030.0
Grid Total Emission Intensity (kg-CO2/kg-H2),0.0
Off-grid Total Emission Intensity (kg-CO2/kg-H2),0.0
H2 PTC ($/kg),0.0
Ren PTC ($/kg),0.0
Wind PTC,0.0
Discount Rate,0.07
NPV Wind Expenses,-1641437751.2406445
NPV Solar Expenses,-199549854.8220135
NPV HVDC Expenses,0.0
LCOE ($/MWh),37.082842026655136
Electricity CF (-),0.6352856721927056
LCOH ($/kg),2.4218464584148007
Electrolyzer CF (-),0.6410768858679637
Fraction of electricity from renewables (-),1.0
Average stack life (hrs),40105.0
Number of stack clusters (-),18.0
Hydrogen storage duration (hr),328.8696639229107
Hydrogen storage capacity (kg),5302624.873868536
Hydrogen storage CAPEX ($/kg),17.164317691925053
Hydrogen annual production (kg),74033360.63555793
Hydrogen production total CAPEX ($),1260231674.9974449
Hydrogen transmission total CAPEX ($),60474080.14890241
Steel Plant Total CAPEX ($),545209215.1819539
Ammonia Plant Total CAPEX ($),69329152.27623674
LCOH: Compression & storage ($/kg),0.11723260116657784
LCOH: Electrolyzer CAPEX ($/kg),0.47392523829466565
LCOH: Desalination CAPEX ($/kg),0.0011633229907896036
LCOH: Electrolyzer FOM ($/kg),0.12447259587092456
LCOH:Desalination FOM ($/kg),0.0023490839319839857
LCOH: Electrolyzer VOM ($/kg),0.06865836881550647
LCOH: Wind Plant CAPEX ($/kg),0.7294065521443922
LCOH: Wind Plant FOM ($/kg),0.391160967177312
LCOH: Solar Plant CAPEX ($/kg),0.13337644226290638
LCOH: Solar Plant FOM ($/kg),0.04473909221163603
LCOH: Battery Storage CAPEX ($/kg),0.028152533591537944
LCOH: Battery Storage FOM ($/kg),0.00965689084719087
LCOH: Taxes and Finances ($/kg),0.12409093221293487
LCOH: Water consumption ($/kg),0.014063324538258579
LCOH: Grid electricity ($/kg),0.0
LCOH: Bulk H2 Transmission ($/kg),0.16234531817601547
Steel annual production (tonne/year),999999.9999999999
Steel annual capacity margin (%),12.239782649420773
Ammonia annual production (kg/year),334339658.8730839
Ammonia annual capacity margin (%),12.239782649420746
Steel Price with Integration ($/tonne),895.5990051464598
Steel price: EAF and Casting CAPEX ($/tonne),7.352712809137524
Steel price: Shaft Furnace CAPEX ($/tonne),4.147456600030857
Steel price: Oxygen Supply CAPEX ($/tonne),0.5024690500428983
Steel price: H2 Pre-heating CAPEX ($/tonne),0.2858154172179284
Steel price: Cooling Tower CAPEX ($/tonne),0.618708489847107
Steel price: Piping CAPEX ($/tonne),1.826797708972273
Steel price: Electrical & Instrumentation ($/tonne),1.217865140345564
"Steel price: Buildings, Storage, Water Service CAPEX ($/tonne)",2.753847764430413
Steel price: Miscellaneous CAPEX ($/tonne),1.2178656258124945
Steel price: Annual Operating Labor Cost ($/tonne),75.19990472290294
Steel price: Maintenance Labor Cost ($/tonne),5.158204145051215
Steel price: Administrative & Support Labor Cost ($/tonne),20.08952721698854
Steel price: Installation Cost ($/tonne),8.045308893724064
Steel price: Maintenance Materials ($/tonne),7.720000000000001
Steel price: Raw Water Withdrawal ($/tonne),0.47648790630000004
Steel price: Lime ($/tonne),2.8880144822630336
Steel price: Carbon ($/tonne),14.135481967115508
Steel price: Iron Ore ($/tonne),456.48015949181234
Steel price: Hydrogen ($/tonne),159.74499239704025
Steel price: Natural gas ($/tonne),2.716709262358007
Steel price: Electricity ($/tonne),46.183103485176005
Steel price: Slag Disposal ($/tonne),6.5600379
Steel price: Taxes ($/tonne),14.666657039787923
Steel price: Equipment Financing ($/tonne),56.74962185107972
Steel price: Remaining Financial ($/tonne),11.954123163502235
Steel price: Oxygen sales ($/tonne),0.0
Steel price: Total ($/tonne),908.6918725309389
(-) Steel price: BOS savings ($/tonne),10.044763608494272
Ammonia price: Air Separation by Cryogenic ($/kg),0.0019678455863622363
Ammonia price: Haber Bosch ($/kg),0.0016300537053258407
Ammonia price: Boiler and Steam Turbine ($/kg),0.0006180945270194874
Ammonia price: Cooling Tower ($/kg),0.0004196233260347037
Ammonia price: Depreciable Nonequipment ($/kg),0.0022764307718301274
Ammonia price: Labor Cost ($/kg),0.016786890891857285
Ammonia price: Maintenance Cost ($/kg),0.0006098158976460083
Ammonia price: Administrative Expense ($/kg),0.0033573781783714568
Ammonia price: Hydrogen ($/kg),0.47779253270602823
Ammonia price: Electricity ($/kg),0.04454170151106027
Ammonia price: Cooling water ($/kg),5.580990977316858e-06
Ammonia price: Iron based catalyst ($/kg),0.0021180315277480326
Ammonia price: Oxygen byproduct ($/kg),-0.008386648300601963
Ammonia price: Taxes ($/kg),0.003144871217337963
Ammonia price: Equipment Financing ($/kg),0.015107304719191514
Ammonia price: Remaining Financial ($/kg),0.0041472287499434365
Ammonia price: Total ($/kg),0.5839586666452808
